Gender,AgeGroup,Program,Income,State,Device,OS,Browser,option
0,1,A,66872,CA,Desktop,Windows,Chrome,A
1,1,A,296518,CA,Desktop,Apple,Chrome,A
1,4,A,484272,CA,Tablet,Windows,Chrome,B
0,3,B,201039,CA,Desktop,Apple,Chrome,B
0,6,D,207131,CA,Mobile,Windows,Safari,A
1,4,E,348883,NJ,Tablet,Windows,Chrome,A
0,2,A,350012,NJ,Mobile,Apple,Chrome,B
1,3,E,151955,NA,Tablet,Windows,Safari,B
0,2,D,143295,NY,Desktop,Apple,Safari,A
1,4,E,447359,CA,Desktop,Apple,Chrome,A
0,5,A,169778,CA,Tablet,Windows,Chrome,B
1,3,A,195142,NJ,Desktop,Windows,Chrome,A
0,5,B,484672,NY,Mobile,Apple,Chrome,A
1,5,C,121840,NY,Mobile,Windows,Chrome,B
0,6,D,100696,NJ,Mobile,Windows,Opera,B
1,1,E,143178,NY,Mobile,Apple,Safari,A
1,5,E,276682,CA,Mobile,Apple,Chrome,B
0,4,D,127781,CA,Desktop,Windows,Chrome,B
1,2,A,86262,NJ,Mobile,Apple,Chrome,A
1,3,E,108282,CA,Desktop,Windows,Safari,A
1,3,B,138551,NJ,Desktop,Windows,Safari,A
0,3,A,419934,CA,Mobile,Windows,Safari,B
1,4,E,212845,CA,Mobile,Windows,Chrome,A
0,5,E,193119,NY,Mobile,Apple,Safari,B
1,3,C,310371,CA,Desktop,Apple,Chrome,B
0,3,A,135270,NJ,Mobile,Windows,Safari,B
0,5,E,114055,NJ,Mobile,Windows,Chrome,A
0,3,D,77946,CA,Mobile,Apple,Chrome,B
0,6,C,327216,NY,Mobile,Apple,Chrome,A
0,5,C,172965,CA,Desktop,Windows,Safari,B
1,2,C,113101,CA,Mobile,Apple,Safari,A
1,4,E,275502,NY,Desktop,Windows,Chrome,A
1,4,D,274238,CA,Mobile,Windows,Safari,B
1,1,E,222761,TX,Mobile,Windows,Chrome,A
0,0,B,423205,CA,Mobile,Windows,Safari,A
1,6,D,464865,NJ,Mobile,Windows,Safari,B
1,5,E,269819,NY,Mobile,Apple,Safari,A
1,3,D,392751,CA,Mobile,Windows,Chrome,B
1,2,D,449567,NJ,Mobile,Windows,Chrome,A
0,6,D,202336,CA,Mobile,Windows,Safari,B
0,3,C,102768,NY,Desktop,Apple,Chrome,B
1,2,A,211426,CA,Mobile,Apple,Chrome,A
0,2,D,225039,NJ,Desktop,Apple,Chrome,A
1,3,D,412482,CA,Desktop,Windows,Chrome,A
0,3,A,189862,TX,Mobile,Apple,Chrome,A
0,3,A,397286,TX,Mobile,Windows,Chrome,A
0,2,E,483193,CA,Mobile,Apple,Chrome,A
1,6,E,61834,NY,Mobile,Apple,Chrome,A
1,2,D,96658,CA,Mobile,Apple,Chrome,B
1,6,C,299159,NA,Desktop,Apple,Chrome,B
0,3,C,472330,NJ,Mobile,Windows,Safari,B
0,5,D,70393,CA,Mobile,Apple,Safari,A
0,3,E,220013,NJ,Mobile,Apple,Chrome,A
1,3,A,420812,TX,Mobile,Apple,Chrome,A
1,2,E,167866,NJ,Mobile,Apple,Chrome,A
1,5,D,496401,NY,Desktop,Windows,Chrome,A
1,2,D,205643,CA,Desktop,Apple,Chrome,B
0,1,A,388211,NY,Mobile,Windows,Chrome,A
1,4,E,254212,CA,Desktop,Windows,Safari,B
0,3,D,242058,NY,Desktop,Windows,Chrome,A
0,2,D,345343,CA,Desktop,Apple,Opera,B
0,6,D,391180,NY,Desktop,Windows,Chrome,B
0,5,C,162837,NY,Mobile,Windows,Chrome,A
0,3,C,51779,CA,Desktop,Windows,Chrome,A
1,3,D,389256,NA,Desktop,Windows,Chrome,A
1,6,C,186635,CA,Mobile,Windows,Safari,B
1,3,A,423031,CA,Desktop,Windows,Chrome,A
1,6,E,152064,NJ,Mobile,Windows,Chrome,A
0,3,D,56519,CA,Desktop,Windows,Safari,A
0,6,C,96104,CA,Desktop,Apple,Safari,A
0,3,A,361515,TX,Desktop,Windows,Chrome,B
0,2,C,72164,CA,Mobile,Apple,Safari,A
1,3,E,127020,TX,Desktop,Windows,Chrome,A
0,4,C,354805,NJ,Mobile,Apple,Safari,B
0,3,C,459457,CA,Desktop,Apple,Opera,B
0,5,D,360063,NJ,Tablet,Apple,Chrome,B
1,6,D,456956,NJ,Desktop,Windows,Chrome,B
1,2,A,499868,TX,Desktop,Windows,Opera,A
0,1,E,164989,NY,Desktop,Apple,Chrome,A
0,2,A,128968,CA,Tablet,Apple,Safari,A
1,3,E,225729,TX,Mobile,Apple,Chrome,A
1,5,D,195894,NY,Desktop,Apple,Opera,B
1,4,D,61472,CA,Mobile,Windows,Chrome,A
0,3,E,99013,NY,Mobile,Apple,Safari,B
0,3,C,320890,NJ,Desktop,Apple,Opera,A
0,3,D,428299,NJ,Desktop,Windows,Chrome,B
0,3,E,283288,CA,Mobile,Apple,Chrome,A
0,6,E,117662,TX,Mobile,Apple,Opera,B
0,5,D,491800,NJ,Mobile,Apple,Safari,B
1,4,D,244998,NY,Desktop,Windows,Safari,A
1,2,D,477702,CA,Desktop,Windows,Chrome,A
0,3,E,155999,CA,Mobile,Windows,Chrome,B
0,3,A,456552,CA,Mobile,Windows,Chrome,A
0,5,D,256751,TX,Mobile,Windows,Chrome,B
0,4,D,407964,NY,Desktop,Windows,Chrome,B
1,2,A,459099,NY,Mobile,Windows,Safari,B
1,4,A,341381,CA,Desktop,Windows,Safari,A
0,3,B,227011,CA,Mobile,Apple,Safari,B
0,4,D,184659,CA,Tablet,Apple,Chrome,B
1,4,D,306881,NY,Desktop,Windows,Safari,B
1,4,E,95930,CA,Mobile,Apple,Chrome,B
0,5,D,405473,NY,Desktop,Apple,Safari,A
1,4,D,119824,TX,Mobile,Apple,Opera,A
0,4,C,481936,NJ,Mobile,Windows,Safari,B
0,0,C,432041,NY,Mobile,Windows,Chrome,B
0,3,D,407318,NJ,Desktop,Apple,Chrome,B
1,2,B,468509,TX,Desktop,Apple,Safari,B
0,0,D,60659,TX,Mobile,Windows,Chrome,A
1,4,E,227382,CA,Desktop,Windows,Chrome,A
0,5,D,401006,CA,Desktop,Windows,Opera,A
0,6,E,166431,TX,Mobile,Apple,Chrome,A
1,3,E,295797,NJ,Mobile,Windows,Chrome,B
0,1,E,261064,NJ,Desktop,Windows,Chrome,A
0,4,D,360198,NY,Desktop,Windows,Chrome,A
1,2,E,490402,NY,Mobile,Apple,Safari,B
1,1,E,197865,CA,Mobile,Apple,Chrome,B
1,2,C,278171,NY,Desktop,Apple,Chrome,B
1,4,E,452703,CA,Mobile,Apple,Chrome,A
0,3,A,216024,CA,Mobile,Windows,Chrome,B
1,1,C,242641,CA,Tablet,Windows,Safari,B
1,3,E,84683,NJ,Desktop,Windows,Chrome,B
1,3,E,189260,NA,Mobile,Apple,Chrome,A
0,5,D,426728,NJ,Desktop,Apple,Chrome,B
1,3,E,254550,NY,Mobile,Apple,Safari,A
1,2,C,326451,CA,Mobile,Apple,Chrome,A
1,2,D,160971,CA,Desktop,Windows,Safari,B
0,3,C,78247,CA,Desktop,Apple,Safari,A
0,0,A,120093,CA,Desktop,Windows,Opera,B
1,4,C,81938,NY,Mobile,Windows,Chrome,A
0,3,E,296164,CA,Mobile,Apple,Safari,B
1,4,E,137904,CA,Tablet,Windows,Chrome,A
1,0,C,315417,CA,Desktop,Apple,Safari,B
1,3,B,205988,NJ,Mobile,Windows,Chrome,A
1,3,A,268902,CA,Mobile,Windows,Safari,B
1,2,D,303109,CA,Mobile,Windows,Safari,B
0,1,D,74160,NJ,Mobile,Apple,Opera,B
1,1,C,251814,NY,Desktop,Windows,Safari,B
0,4,A,322464,NY,Mobile,Windows,Chrome,A
0,3,E,110436,CA,Mobile,Apple,Opera,A
1,3,B,251278,CA,Mobile,Apple,Chrome,B
0,2,C,167402,CA,Mobile,Apple,Chrome,B
0,1,E,389503,NY,Desktop,Apple,Safari,B
1,1,E,232213,NY,Mobile,Windows,Chrome,A
1,3,C,452926,NJ,Mobile,Apple,Chrome,A
1,6,A,305889,NY,Desktop,Apple,Chrome,B
1,4,E,122431,NY,Mobile,Windows,Chrome,A
0,6,D,495750,CA,Mobile,Windows,Chrome,B
1,2,D,383879,NY,Desktop,Windows,Chrome,A
0,2,D,453382,NJ,Mobile,Apple,Chrome,B
0,6,C,362488,CA,Desktop,Windows,Chrome,B
1,3,E,352916,NJ,Mobile,Apple,Chrome,A
1,2,D,81128,NY,Desktop,Windows,Chrome,A
1,1,A,112430,NJ,Desktop,Apple,Chrome,B
0,4,D,485719,NY,Mobile,Windows,Chrome,B
1,5,E,418751,CA,Mobile,Windows,Chrome,A
0,1,C,481827,CA,Desktop,Windows,Safari,B
1,3,D,431376,NJ,Mobile,Apple,Chrome,A
0,1,D,58367,NY,Mobile,Apple,Opera,B
1,5,E,62139,NY,Desktop,Windows,Chrome,B
0,4,A,342321,CA,Desktop,Windows,Chrome,A
1,2,E,480118,CA,Desktop,Windows,Chrome,A
1,6,C,423197,NJ,Desktop,Apple,Chrome,B
0,3,E,343234,NY,Desktop,Apple,Opera,A
0,2,C,59823,NJ,Mobile,Apple,Chrome,A
0,0,E,114916,CA,Desktop,Windows,Chrome,A
1,2,A,413360,NA,Mobile,Apple,Safari,A
0,3,A,316834,CA,Mobile,Windows,Chrome,B
0,1,E,286996,NY,Mobile,Windows,Chrome,B
1,0,A,480960,NJ,Desktop,Windows,Safari,A
1,4,C,65656,TX,Mobile,Windows,Safari,A
0,6,E,59429,CA,Mobile,Windows,Safari,B
0,4,A,438499,NJ,Desktop,Windows,Opera,B
0,0,D,324698,NJ,Mobile,Windows,Chrome,A
1,5,D,411684,CA,Mobile,Windows,Safari,A
1,3,E,365357,NY,Mobile,Apple,Chrome,B
1,0,A,60273,TX,Mobile,Apple,Chrome,A
1,0,D,325400,CA,Tablet,Windows,Chrome,A
0,2,A,62417,CA,Mobile,Apple,Chrome,B
0,6,B,285387,CA,Tablet,Windows,Safari,A
0,1,A,328358,NJ,Desktop,Apple,Chrome,A
1,2,A,224112,NY,Desktop,Apple,Safari,A
1,3,A,136271,TX,Desktop,Apple,Safari,B
1,1,E,455032,NJ,Desktop,Windows,Safari,B
1,4,A,50269,TX,Mobile,Windows,Chrome,A
1,5,E,138384,NY,Desktop,Apple,Chrome,B
0,5,A,232217,CA,Desktop,Apple,Opera,B
0,0,C,158331,CA,Mobile,Apple,Chrome,B
1,1,A,295110,NY,Desktop,Windows,Opera,A
1,2,C,207114,NY,Desktop,Windows,Chrome,A
1,1,A,466368,NY,Mobile,Windows,Safari,A
1,1,C,67577,CA,Mobile,Windows,Chrome,B
1,3,E,480110,NJ,Mobile,Windows,Safari,A
0,3,E,474140,NJ,Mobile,Apple,Safari,B
1,4,E,393994,NJ,Mobile,Apple,Chrome,B
0,1,E,237828,NJ,Desktop,Windows,Safari,A
1,0,A,369678,NY,Desktop,Windows,Chrome,A
1,0,D,254285,NJ,Mobile,Apple,Chrome,B
0,1,E,312649,TX,Mobile,Windows,Chrome,B
1,5,E,201804,CA,Desktop,Apple,Safari,A
1,5,E,162746,NY,Mobile,Apple,Safari,A
0,5,E,430993,NJ,Mobile,Apple,Opera,B
1,1,E,284648,CA,Desktop,Windows,Chrome,B
0,5,E,92268,NY,Mobile,Windows,Chrome,B
0,1,C,298462,CA,Desktop,Apple,Safari,A
1,0,C,250850,CA,Desktop,Windows,Safari,B
1,3,E,98422,CA,Mobile,Windows,Chrome,A
0,4,A,86077,NY,Desktop,Windows,Chrome,A
0,2,D,298524,TX,Desktop,Apple,Chrome,B
0,4,C,443202,NY,Desktop,Apple,Chrome,B
1,4,D,403151,NJ,Mobile,Windows,Safari,A
0,5,C,236705,TX,Desktop,Apple,Chrome,B
1,1,D,458004,NY,Mobile,Apple,Chrome,A
1,1,D,446102,CA,Desktop,Apple,Safari,B
1,2,D,246205,CA,Desktop,Apple,Safari,B
1,3,A,174881,CA,Desktop,Windows,Chrome,A
1,2,C,145211,CA,Desktop,Windows,Chrome,B
1,5,A,51965,TX,Desktop,Apple,Chrome,A
0,5,E,426929,NY,Mobile,Windows,Chrome,A
0,3,A,141126,NY,Mobile,Windows,Safari,B
1,4,B,144421,CA,Desktop,Apple,Opera,A
0,3,E,385257,CA,Mobile,Apple,Opera,B
1,5,A,84843,CA,Mobile,Windows,Opera,B
0,3,C,260717,CA,Mobile,Apple,Safari,A
0,6,D,476371,CA,Desktop,Windows,Chrome,A
0,0,D,152124,NJ,Mobile,Windows,Chrome,B
0,1,E,262077,TX,Mobile,Windows,Safari,A
0,3,A,138647,CA,Tablet,Apple,Safari,A
1,6,E,210122,CA,Mobile,Windows,Safari,A
0,4,E,69664,NJ,Desktop,Windows,Safari,A
0,2,A,266765,CA,Desktop,Windows,Chrome,B
0,3,A,177951,NJ,Mobile,Windows,Chrome,B
1,1,A,481357,NY,Desktop,Windows,Chrome,A
1,4,C,485339,CA,Desktop,Windows,Chrome,B
1,3,D,83006,NJ,Desktop,Apple,Safari,A
1,4,A,357501,TX,Desktop,Apple,Chrome,A
1,2,E,243984,NJ,Mobile,Windows,Safari,A
1,4,E,384527,NJ,Mobile,Apple,Chrome,A
0,0,A,208149,NA,Desktop,Windows,Chrome,B
0,2,D,457035,NJ,Mobile,Apple,Chrome,A
1,0,A,127713,CA,Desktop,Windows,Chrome,B
1,2,E,258161,NY,Mobile,Apple,Chrome,A
0,0,A,148259,TX,Mobile,Windows,Safari,A
1,3,C,366698,NJ,Mobile,Windows,Chrome,B
1,1,A,240545,NY,Mobile,Apple,Chrome,B
1,0,E,315818,NY,Mobile,Windows,Chrome,B
1,2,E,83091,NA,Mobile,Windows,Safari,A
0,0,E,476382,NJ,Desktop,Apple,Safari,B
1,5,A,328335,TX,Desktop,Windows,Chrome,A
1,0,D,363422,NY,Mobile,Windows,Safari,B
1,3,A,488185,NA,Mobile,Windows,Opera,A
1,2,D,80215,NJ,Desktop,Windows,Safari,B
0,3,E,283260,CA,Desktop,Windows,Chrome,B
1,3,A,210926,NJ,Mobile,Windows,Chrome,A
0,0,E,129590,NJ,Mobile,Apple,Chrome,A
0,4,C,60831,NJ,Mobile,Apple,Chrome,A
0,4,E,151655,NY,Desktop,Apple,Chrome,A
1,4,D,483138,NA,Mobile,Windows,Chrome,A
0,3,D,367031,CA,Desktop,Windows,Chrome,B
0,5,C,386645,CA,Mobile,Apple,Safari,A
1,0,E,485759,NJ,Mobile,Apple,Opera,B
0,6,A,267560,CA,Mobile,Apple,Opera,B
1,4,E,271276,NA,Desktop,Windows,Chrome,B
0,1,C,53790,NY,Mobile,Windows,Safari,B
1,5,E,70194,CA,Mobile,Apple,Chrome,B
1,5,A,258624,CA,Tablet,Windows,Chrome,A
0,4,B,178481,NY,Desktop,Apple,Chrome,A
0,4,C,304297,NY,Mobile,Windows,Chrome,A
1,3,B,279644,NJ,Desktop,Apple,Safari,B
1,3,D,142089,NJ,Mobile,Windows,Opera,A
1,6,E,298807,NY,Desktop,Windows,Chrome,A
0,4,C,57509,NY,Mobile,Windows,Safari,A
0,6,A,321061,NY,Mobile,Windows,Safari,A
0,3,B,304178,CA,Mobile,Windows,Safari,A
1,4,C,383456,NA,Mobile,Windows,Chrome,B
0,2,C,291766,NJ,Mobile,Apple,Chrome,B
0,3,A,154021,CA,Desktop,Windows,Opera,B
0,3,D,372562,NY,Mobile,Apple,Chrome,B
0,4,E,341597,CA,Mobile,Apple,Chrome,B
1,1,E,395769,TX,Desktop,Apple,Chrome,A
0,6,A,86630,CA,Mobile,Windows,Safari,B
1,1,C,296051,NY,Desktop,Windows,Chrome,A
0,4,E,378922,NY,Mobile,Apple,Chrome,B
0,4,B,206653,TX,Desktop,Windows,Safari,A
1,4,E,374806,NJ,Desktop,Windows,Chrome,B
0,5,D,119447,TX,Tablet,Apple,Safari,B
1,0,E,54855,CA,Desktop,Apple,Chrome,B
0,2,C,424746,NY,Desktop,Windows,Chrome,B
1,4,A,115152,TX,Mobile,Apple,Chrome,A
1,2,E,391930,NY,Desktop,Windows,Opera,A
0,2,E,81221,NJ,Mobile,Apple,Safari,A
0,5,A,115531,CA,Mobile,Windows,Chrome,A
1,2,E,473707,NY,Desktop,Apple,Chrome,B
1,1,A,284673,CA,Mobile,Apple,Chrome,A
1,1,C,352486,NY,Mobile,Windows,Chrome,B
0,3,D,196177,CA,Mobile,Windows,Chrome,B
0,5,A,61372,NY,Desktop,Apple,Chrome,A
1,3,D,293283,CA,Desktop,Windows,Chrome,A
1,3,E,69364,NA,Desktop,Apple,Safari,B
1,5,A,147212,NY,Desktop,Apple,Chrome,A
1,4,B,408370,NY,Desktop,Windows,Safari,A
0,0,E,408281,NY,Mobile,Windows,Chrome,B
0,2,E,88785,NY,Desktop,Apple,Safari,B
0,3,E,72350,NY,Mobile,Apple,Chrome,A
1,3,C,480965,CA,Desktop,Apple,Safari,A
0,6,A,435758,NY,Mobile,Windows,Chrome,A
0,5,D,452972,NY,Mobile,Windows,Chrome,B
1,0,D,447095,CA,Mobile,Apple,Opera,A
0,3,E,493540,NA,Desktop,Windows,Chrome,B
0,4,C,249614,CA,Mobile,Apple,Safari,B
1,1,D,205886,CA,Mobile,Apple,Chrome,A
1,2,D,95233,CA,Desktop,Apple,Safari,A
0,5,D,431860,NJ,Mobile,Windows,Chrome,B
0,0,C,393985,NJ,Desktop,Apple,Chrome,A
0,2,D,260050,NJ,Mobile,Apple,Opera,B
0,3,D,485516,NY,Mobile,Windows,Chrome,B
1,6,D,53661,TX,Desktop,Apple,Chrome,A
0,4,E,412930,NJ,Mobile,Apple,Chrome,A
0,2,C,304205,NJ,Mobile,Windows,Chrome,B
0,6,D,343525,NY,Mobile,Apple,Chrome,A
1,3,E,209406,CA,Mobile,Apple,Safari,A
0,3,A,446223,CA,Mobile,Windows,Chrome,B
0,2,C,255954,NJ,Mobile,Apple,Chrome,A
0,4,D,213709,CA,Desktop,Apple,Opera,B
0,3,A,492584,CA,Mobile,Windows,Safari,A
0,0,D,414935,CA,Tablet,Apple,Chrome,B
1,3,D,105009,TX,Mobile,Apple,Opera,A
0,4,E,75212,NJ,Mobile,Windows,Chrome,B
0,2,C,244132,CA,Mobile,Apple,Safari,B
1,0,A,106576,NY,Desktop,Apple,Chrome,A
0,2,D,275719,NY,Mobile,Apple,Safari,A
1,4,A,79596,CA,Tablet,Apple,Opera,B
1,4,E,216706,CA,Desktop,Apple,Chrome,B
1,3,C,476908,CA,Mobile,Windows,Safari,A
0,4,D,162396,NJ,Mobile,Apple,Safari,B
1,5,D,396040,TX,Mobile,Windows,Chrome,B
0,2,E,336685,NY,Mobile,Apple,Safari,B
0,0,A,92294,NA,Mobile,Windows,Chrome,A
0,4,A,248213,NA,Tablet,Windows,Chrome,B
1,1,D,211544,NY,Desktop,Apple,Safari,A
0,3,D,187428,CA,Mobile,Windows,Opera,B
1,0,C,274162,NY,Mobile,Windows,Chrome,B
0,4,C,212125,NY,Mobile,Apple,Chrome,B
1,2,A,334492,TX,Desktop,Apple,Safari,A
1,5,C,328047,NY,Desktop,Apple,Chrome,B
